code,kind,source_file,page,definition
A01009,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,820,(N) CU: Control module overtemperature
A01016,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,821,(F) Firmware changed
A01017,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,821,Component lists changed
A01019,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,822,Writing to the removable data medium unsuccessful
A01020,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,822,Writing to RAM disk unsuccessful
A01021,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,823,Removable data medium as USB data storage medium from the PC used
A01028,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,394,Configuration error Explanation: The parameter assignments on the memory card were made with
A01035,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,824,(F) ACX: Parameter back-up file corrupted
A01045,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,828,Configuring data invalid
A01049,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,828,It is not possible to write to file
A01064,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,829,(F) CU: Internal error (CRC)
A01066,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,829,Buffer memory: 70% fill level reached or exceeded
A01067,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,829,Buffer memory: 100 % fill level reached
A01069,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,830,Parameter backup and device incompatible
A01073,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,830,(N) POWER ON required for backup copy on memory card
A01101,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,394,Memory card not available Insert a memory card or deactivate alarm A01101.
A01251,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,832,CU: CU-EEPROM incorrect read-write data
A01514,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,835,(F) BICO: Error when writing during a reconnect
A01590,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,394,Motor maintenance interval ex‐
A01600,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,666,... 01699
A01654,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,843,(F) SI P1 (CU): Deviating PROFIsafe configuration
A01666,alarm,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,395,Static 1 signal at the F-DI for safe
A01669,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,847,"(F, N) SI Motion: Unfavorable combination of motor and power unit"
A01678,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,669,"[2804.1], [2810.5]"
A01693,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,850,"(F) SI P1 (CU): Safety parameter setting changed, POWER ON required"
A01696,alarm,Siemens_G120_CU240BE2_List_Manual.pdf,850,(F) SI Motion: Test stop for the motion monitoring functions selected when booting
