filename,manufacturer,family,document_type,equipment_type,url,notes
Siemens_SINAMICS_G120C_Operating_Instructions.pdf,Siemens,SINAMICS G120C,operating_manual,VFD,https://docs.rs-online.com/9bf6/A700000009350160.pdf,RS Online mirror (Siemens support.industry.siemens.com attachment link returns 403 to automated/bot requests) - verified: title "SINAMICS G120C Converters" 500 pages
Siemens_SINAMICS_G120C_List_Manual.pdf,Siemens,SINAMICS G120C,list_manual,VFD,https://cache.industry.siemens.com/dl/files/922/109817922/att_1133717/v1/G120C_list_man_0223_en-US.pdf,Fault/alarm list reference - edition 02/2023
Siemens_SINAMICS_G120_Function_Manual.pdf,Siemens,SINAMICS G120,function_manual,VFD,https://cache.industry.siemens.com/dl/files/597/52614597/att_26930/v1/Function_Manual_en-US.pdf,Drive functions and troubleshooting reference
Siemens_CU240B2_CU240E2_Operating_Instructions.pdf,Siemens,SINAMICS G120 CU240B-2/CU240E-2,operating_manual,VFD,https://docs.rs-online.com/b821/A700000010488842.pdf,RS Online mirror (Siemens support.industry.siemens.com attachment link returns 403 to automated/bot requests) - control unit operating instructions
Siemens_G120_CU240BE2_List_Manual.pdf,Siemens,SINAMICS G120 CU240B/E-2,list_manual,VFD,https://cache.industry.siemens.com/dl/files/919/109817919/att_1133702/v1/G120_CU240BE-2_list_man_0223_en-US.pdf,Fault/alarm list reference - edition 02/2023
Siemens_G120_Fieldbus_Function_Manual.pdf,Siemens,SINAMICS G120,function_manual,VFD,https://cache.industry.siemens.com/dl/files/930/109791930/att_1049446/v1/G120_fieldbus_fct_man_1120_en-US.pdf,Fieldbus/communication function manual - edition 11/2020
Siemens_SIMOTICS_SD_Operating_Instructions.pdf,Siemens,SIMOTICS SD,operating_manual,electric_motor,https://docs.rs-online.com/7c06/A700000014746727.pdf,RS Online mirror (Siemens support.industry.siemens.com attachment link returns 403 to automated/bot requests) - low-voltage motor operating instructions
Siemens_SIMOTICS_GP_SD_DP_Engineering_Manual.pdf,Siemens,SIMOTICS GP/SD/DP,engineering_manual,electric_motor,https://www.product.network/datasheet/industryonlinesupport/SI_109759451.pdf,Third-party mirror of Siemens doc 109759451 (Siemens support.industry.siemens.com attachment link returns 403 to automated/bot requests) - verified: title "Engineering Manual SIMOTICS GP/SD/DP - 1LE1/5 and 1PC1/5" 31 pages
Siemens_SIMOTICS_SD_1LE7_Operating_Instructions.pdf,Siemens,SIMOTICS SD 1LE7,operating_manual,electric_motor,https://assets.new.siemens.com/siemens/assets/api/uuid:9ccc8398-c793-4ebd-b6c2-ecbf261efaf0/operationinstructionssimotics1le7.pdf,Low-voltage motor operating instructions - different frame/shaft-height variant from SIMOTICS_SD_Operating_Instructions
Siemens_SIMOTICS_GP_1LE1_Operating_Instructions.pdf,Siemens,SIMOTICS GP 1LE1,operating_manual,electric_motor,https://cache.industry.siemens.com/dl/files/362/32182362/att_1163295/v1/EN_1LE1_1FP1_1FP3_1PC1_1PC3_op_Instr_1123.pdf,General-purpose low-voltage motor operating instructions
Siemens_SIMOTICS_GP_SD_XP_DP_Catalog.pdf,Siemens,SIMOTICS GP/SD/XP/DP,catalog,electric_motor,https://cache.industry.siemens.com/dl/files/197/109749197/att_955119/v1/simotics-gp-sd-xp-dp-catalogue-d-81-1-en-2018.pdf,Technical data catalog covering multiple low-voltage motor families - edition 2018
